study,baseline,candidate,cohort,prompts,distinct_crates,latency_reduction_pct,prompt_ci_low_pct,prompt_ci_high_pct,crate_ci_low_pct,crate_ci_high_pct,identical_output_prompts,session0_reduction_pct,session1_reduction_pct
replication,general-draft,seed2,prose,8,,3.7946579454570086,-0.3743594075895862,5.462018954684533,,,8,3.7935773773639934,3.795740351130755
replication,general-draft,seed2,python,32,,0.09145895364332524,-0.2741435882002152,3.3182591968822006,,,32,0.3215045494816271,0.12007539155255986
replication,general-draft,seed2,reasoning,8,,-0.16196265377735886,-1.936809605320855,0.97797925057862,,,8,-0.16690147248926146,-0.1570148096559698
replication,general-draft,seed2,rust_fresh,32,24,10.663979734860806,8.6050306872683,12.688477074961979,8.6050306872683,13.023354617392958,32,10.320099072992523,10.745310244252494
replication,general-draft,seed2,rust_seen,32,27,9.4412488306588,7.280663625391265,11.789361911418277,7.053526447545244,11.814300229332886,32,9.429790449489628,9.452730434609085
replication,general-draft,seed2,tool_calls,8,,-4.235227989810619,-11.447791813943443,0.3065031996759504,,,8,-4.338806161926112,-4.070703458766212
replication,general-draft,rust-draft,prose,8,,3.3247851510112616,-0.03738274512177231,5.681644514070405,,,8,3.27014629102913,3.3795549962111373
replication,general-draft,rust-draft,python,32,,1.1716438287896536,-0.10391522002894948,4.476142355381612,,,32,1.0965365962343931,1.241327042176965
replication,general-draft,rust-draft,reasoning,8,,0.7874407857024868,-1.7471975437659992,1.3343763821385801,,,8,0.8188920522878618,0.7559255672025311
replication,general-draft,rust-draft,rust_fresh,32,24,10.658199333191304,8.784434271086837,12.443050501972369,8.784434271086837,12.372985906982843,32,10.76103397669515,10.555099673083152
replication,general-draft,rust-draft,rust_seen,32,27,9.49268989001421,7.6083770990477255,11.836699281297486,7.577994018450774,11.975870463917781,32,9.580799868961027,9.404224067876365
replication,general-draft,rust-draft,tool_calls,8,,-3.241353068511954,-11.097161086161822,0.6726996107350947,,,8,-3.077139796928896,-3.453002186320253
replication,rust-draft,seed2,prose,8,,-0.11100766637525128,-1.1595661245413225,1.3185529912590366,,,8,0.018643355572817155,-0.16737396612424016
replication,rust-draft,seed2,python,32,,-0.2802539022116579,-0.4420594186594462,0.16537443890444203,,,32,-0.18406709604101845,-0.2853880510246043
replication,rust-draft,seed2,reasoning,8,,-0.20881847173673806,-0.9802986323617091,-0.1692686220565287,,,8,-0.24333907535885047,-0.21397114496357617
replication,rust-draft,seed2,rust_fresh,32,24,-0.22109957455290763,-0.987102714186816,-0.008511418674150839,-0.949065784303027,-0.008511418674150839,32,-0.20765751991921322,-0.22949233961969684
replication,rust-draft,seed2,rust_seen,32,27,-0.8206300522609733,-1.557439222887591,-0.1835522094185249,-1.6075240955186532,-0.1835522094185249,32,-0.7917085364585574,-0.8496635956833365
replication,rust-draft,seed2,tool_calls,8,,-0.31539201395502925,-0.9922882842347214,-0.0012801670884521332,,,8,-0.27982518820998115,-0.36920067938891465
scale,general-draft,scale400,prose,8,,1.2804922961953347,-1.9197342249426708,2.5705185023297994,,,8,1.393915368161669,1.2650407371908035
scale,general-draft,scale400,python,32,,-0.20764224917958485,-2.3864694743620074,3.5243057093063412,,,32,0.05760212115486496,-0.024880882441224994
scale,general-draft,scale400,reasoning,8,,-1.3612885717814605,-2.902367600105915,0.6714218042106257,,,8,-1.3059761766070932,-1.4167126243390338
scale,general-draft,scale400,rust_fresh,32,24,15.214055970068118,14.165627484035737,16.692601490757987,14.165627484035737,16.5520232993323,32,15.32743061982081,15.100479356608254
scale,general-draft,scale400,rust_seen,32,27,13.82927317698216,11.763456848833586,14.889364292804197,11.450933529266132,15.030219120147791,32,13.815114130712058,13.84343219573198
scale,general-draft,scale400,tool_calls,8,,-6.74567822829083,-13.815309537441689,0.2763874861441695,,,8,-6.925294298195384,-6.565764061482115
scale,general-draft,scale100,prose,8,,0.41723885046722753,-0.3930416238142831,5.3420833549410744,,,8,0.3591673466779133,0.4971726282303801
scale,general-draft,scale100,python,32,,-0.03905903269517119,-0.5273506728532773,5.072298523028213,,,32,0.1714110919128209,0.35891182683370215
scale,general-draft,scale100,reasoning,8,,1.6614931627827068,-0.8403545042448668,2.908885739459832,,,8,1.6703394521066006,1.6526409688714994
scale,general-draft,scale100,rust_fresh,32,24,10.531286458993161,9.348386006053811,11.422835036460432,9.348386006053811,11.703256207971979,32,10.58691715930442,10.475560025492442
scale,general-draft,scale100,rust_seen,32,27,10.606050557722263,8.772520670488854,12.173550258948252,7.806867186748079,12.173550258948252,32,10.648051992587416,10.592060621503647
scale,general-draft,scale100,tool_calls,8,,-3.8211923190545782,-11.345253137453549,-0.18120605575242532,,,8,-3.9437043631273316,-4.019394951768018
scale,general-draft,rust-draft,prose,8,,3.082394519134546,-0.1946477803008051,5.419768903859989,,,8,3.0703527363630245,3.094440354611244
scale,general-draft,rust-draft,python,32,,1.2878461140445219,-0.3112505584958347,4.233053725950048,,,32,1.2916057713064921,1.1149669083341862
scale,general-draft,rust-draft,reasoning,8,,0.5453940655803069,-1.9798492904374632,1.0507815127740572,,,8,0.5303114311244916,0.5604873034283586
scale,general-draft,rust-draft,rust_fresh,32,24,10.362890153772602,8.521408725778379,12.068770026561904,8.566439348682353,12.046472937746234,32,10.387249670127202,10.33845775079198
scale,general-draft,rust-draft,rust_seen,32,27,9.2601175577548,7.3661567894751645,11.655824388231133,7.24317229062369,11.661374892638076,32,9.282640038279538,9.237492370227956
scale,general-draft,rust-draft,tool_calls,8,,-3.257323950391422,-11.364896956227144,0.29700756727514266,,,8,-3.381439474070813,-3.253118260299448
scale,rust-draft,scale100,prose,8,,-0.9749699926617228,-3.432260517865149,1.5162216564893805,,,8,-1.18227150494441,-0.9061029475066207
scale,rust-draft,scale100,python,32,,0.083633671697253,-0.19008706641692186,0.6664291638896647,,,32,0.20265367508717214,0.05172533160703319
scale,rust-draft,scale100,reasoning,8,,0.8539927018133164,0.6599111753451736,2.2678803816539417,,,8,0.8343733579306012,0.8736409291623781
scale,rust-draft,scale100,rust_fresh,32,24,0.08942850301470462,-0.033789801960459886,1.2078785766726163,-0.045844016927265585,1.2078785766726163,32,0.13659026710733935,0.16308698579129421
scale,rust-draft,scale100,rust_seen,32,27,0.8379643606649279,-0.047365872953075705,1.4446896757081218,-0.047365872953075705,1.4398554800151564,32,0.743730423398109,0.9132283998537327
scale,rust-draft,scale100,tool_calls,8,,-0.17472016559593184,-1.1077146367155288,0.03997085300784242,,,8,-0.20112190799227436,-0.33175270814893576
scale,rust-draft,scale400,prose,8,,-1.8919711127540872,-3.0125221396783752,-1.5756804535400848,,,8,-1.729562282723418,-2.1322892408173533
scale,rust-draft,scale400,python,32,,0.11085708145018303,-2.909192510493208,0.6968949637269461,,,32,-0.004237116589544954,0.11187940270395713
scale,rust-draft,scale400,reasoning,8,,-0.589256694768292,-3.0606390865412614,-0.04205025349106606,,,8,-0.5809642164384399,-0.5975570267712005
scale,rust-draft,scale400,rust_fresh,32,24,5.477906028394614,3.953309794813542,6.558204846112026,3.953309794813542,6.558204846112026,32,5.379419559361348,5.576346331467274
scale,rust-draft,scale400,rust_seen,32,27,3.506456133043523,2.3250001677655066,5.186346933761832,2.203357408964257,5.008206909131546,32,3.454669030793378,3.558284766856501
scale,rust-draft,scale400,tool_calls,8,,-0.4051075368329715,-6.865940342056764,0.35721206216261514,,,8,-0.5121777546101547,-0.283324542457003
scale,scale100,scale400,prose,8,,-0.14091040689344636,-4.598466744819163,1.2441870499044327,,,8,0.09563245639151452,-0.37813759794714796
scale,scale100,scale400,python,32,,-0.7164283464941024,-3.998874840337441,0.05960882852883431,,,32,-0.9712831328499094,-0.6125241718926477
scale,scale100,scale400,reasoning,8,,-3.087122208920534,-3.9767580918839807,-0.3473370049211999,,,8,-3.03976446435108,-3.13461139064648
scale,scale100,scale400,rust_fresh,32,24,5.0804492155723135,4.0373902736585805,6.488617003930841,4.2216666347379475,6.446999262661013,32,5.110690086003094,5.0829113881036
scale,scale100,scale400,rust_seen,32,27,3.3592175267139366,2.30398909959465,4.66805668508119,2.3329138025154683,4.450836644096934,32,3.3245046547034307,3.3357843698130996
scale,scale100,scale400,tool_calls,8,,-0.0887683032503861,-0.48797477800672784,0.8547501324178419,,,8,-0.3083729963126003,0.2861300376689635
control,general-draft,small400,prose,8,,0.5462136932980421,-1.884484231194672,2.581661658459211,,,8,0.5401895092169873,0.5520261925399672
